id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
349,7.6,3.4,3.1,0.8,Lecidea planetica Tuck.
350,7.8,3.2,3.2,1.2,Capsicum baccatum L. var. pendulum (Willd.) Eshb.
351,6.1,3.8,3.3,2.4,Mentha L.
352,6.3,4.1,5.7,1.5,Polygonum amphibium L.
353,5.4,2.8,6.2,1.9,Selaginella tortipila A. Braun
354,5.8,4.0,3.9,1.5,Atriplex spongiosa F. Muell.
355,4.1,2.1,2.6,1.7,Cyperus fendlerianus Boeckeler
356,6.0,3.9,1.1,2.3,Cibotium menziesii Hook.
357,4.5,2.5,2.5,2.0,Sisyrinchium idahoense E.P. Bicknell var. idahoense
358,6.4,3.7,2.8,0.6,Athyrium filix-femina (L.) Roth ssp. asplenioides (Michx.) Hultén
359,6.2,4.2,1.4,0.8,Solidago arguta Aiton var. neurolepis (Fernald) Steyerm.
360,5.0,4.4,4.1,0.7,Leucaena Benth.
361,5.9,4.2,6.4,0.5,Plagiobothrys acanthocarpus (Piper) I.M. Johnst.
362,4.8,3.6,2.6,1.1,Stellaria longipes Goldie ssp. arenicola (Raup) C.C.Chinnappa & J.K. Morton
363,5.8,2.4,6.2,2.3,Bryoria trichodes (Michx.) Brodo & D. Hawksw. ssp. trichodes
364,5.6,2.3,4.7,1.6,Oxytropis lagopus Nutt. var. lagopus
365,4.1,4.0,4.6,2.5,Orbexilum Raf.
366,4.1,2.9,1.9,0.3,Pediomelum subacaule (Torr. & A. Gray) Rydb.
367,6.1,4.3,6.1,0.1,Glandularia tenera (Spreng.) Cabrera
368,6.0,2.2,4.5,0.4,Stachys clingmanii Small
369,7.2,3.4,4.2,1.0,Sporopodium Mont.
370,5.3,3.1,6.2,1.1,Cyperus meyenianus Kunth
371,4.3,4.2,2.4,1.5,Bulbostylis capillaris (L.) Kunth ex C.B. Clarke
372,4.1,2.2,6.2,2.1,Calochortus nudus S. Watson
373,7.1,2.6,6.5,0.9,Oldenlandia lancifolia (Schumach.) DC.
374,7.3,2.2,3.6,1.4,Platylomella A.L. Andrews
375,5.2,4.2,5.1,1.4,Penstemon davidsonii Greene
376,5.4,2.4,3.3,1.7,Isoetes ×bruntonii D.A. Knepper & L.J. Musselman
377,6.1,3.3,4.6,0.7,Calycadenia truncata DC.
378,6.6,3.1,2.4,2.0,Ericameria ophitidis (J.T. Howell) G.L. Nesom
379,4.0,3.5,5.3,2.1,Penstemon auriberbis Pennell
380,5.6,4.2,3.7,2.3,Aristea Aiton
381,4.1,3.2,2.7,2.3,Juncus hemiendytus F.J. Herm.
382,6.7,2.2,4.2,1.2,Eurhynchium praelongum (Hedw.) Schimp.
383,6.9,3.2,6.4,2.0,Scolosanthus grandifolius Krug & Urb.
384,4.3,2.7,4.6,0.2,Hibiscadelphus bombycinus Forbes
385,7.3,4.2,5.0,0.9,Ivesia longibracteata Ertter
386,4.3,2.8,4.8,1.8,Ehretia P. Br.
387,4.9,3.3,3.5,0.3,Cryptantha clokeyi I.M. Johnst.
388,6.7,3.5,4.2,2.0,Zygodon reinwardtii (Hornsch.) A. Br.
389,4.2,2.3,5.0,2.4,Phacelia neglecta M.E. Jones
390,5.3,2.5,3.5,0.9,Arnica rydbergii Greene
391,5.1,2.0,1.3,0.9,Phanerophlebia C. Presl
392,5.3,3.0,4.5,0.9,Dendrophthora flagelliformis (Lam.) Krug & Urb.
393,7.3,3.5,2.1,0.6,Lamium purpureum L. var. purpureum
394,4.8,3.3,2.7,1.3,Urochloa reptans (L.) Stapf
395,6.8,2.5,2.0,2.1,Plantago hawaiensis (A. Gray) Pilg.
396,6.5,2.9,4.9,2.1,Parietaria floridana Nutt.
397,4.3,2.9,4.6,1.1,Dissanthelium californicum (Nutt.) Benth.
398,6.0,3.7,2.8,2.4,Plagiobothrys austiniae (Greene) I.M. Johnst.
399,7.4,2.2,5.9,2.1,Oenothera laciniata Hill
400,4.5,2.8,6.0,1.4,Holarrhena pubescens (Buch.-Ham.) Wall. ex G. Don
401,7.1,2.6,6.7,1.0,Diapensia L.
402,5.7,2.3,5.5,0.9,Saxifraga flagellaris Willd. ex Sternb. ssp. flagellaris Willd. ex Sternb. [excluded]
403,7.7,3.7,1.4,1.5,Rubus bushii L.H. Bailey
404,4.6,2.4,5.4,1.9,Gaillardia pulchella Foug.
405,7.8,3.3,3.5,0.7,Oenothera harringtonii W.L. Wagner
406,5.7,2.4,2.0,2.0,Tectaria plantaginea (Jacq.) Maxon
407,5.2,3.3,4.5,0.9,Argemone albiflora Hornem.
408,7.2,3.0,4.1,2.5,Grindelia oxylepis Greene
409,5.0,2.2,4.4,1.3,Ligularia Cass.
410,4.2,3.1,6.4,1.4,Carex heteroneura W. Boott var. epapillosa (Mack.) F.J. Herm.
411,4.6,3.3,2.1,1.1,Viola pinetorum Greene var. grisea (Jepson) R.J. Little
412,6.2,2.3,3.6,2.0,Bromus inermis Leyss. ssp. inermis var. inermis
413,4.6,4.3,2.7,1.2,Monardella odoratissima Benth. ssp. odoratissima
414,4.8,2.1,4.1,1.4,Chimaphila umbellata (L.) W.P.C. Barton ssp. occidentalis (Rydb.) Hultén
415,7.0,3.9,6.3,0.2,Carex flacca Schreb.
416,7.2,4.1,4.2,1.7,Carex debilis Michx. var. rudgei L.H. Bailey
417,7.9,3.0,3.3,0.4,Astrolepis Benham & Windham
418,6.1,2.0,4.8,1.7,Amaranthus blitum L. var. blitum
419,4.4,2.6,2.5,1.0,Erigeron linearis (Hook.) Piper
420,7.2,3.2,1.1,0.9,Astragalus curvicarpus (A. Heller) J.F. Macbr.
421,6.9,3.1,1.8,2.0,"Calliscirpus criniger (A. Gray) C.N. Gilmour, J.R. Starr & Naczi"
422,4.9,3.0,3.4,1.0,Crotalaria rotundifolia Walter ex J.F. Gmel.
423,5.9,2.4,5.8,1.6,Phyllanthus urinaria L.
424,7.4,2.1,3.1,2.2,Silene petersonii Maguire var. petersonii
425,6.9,3.8,5.8,1.1,Aristida longespica Poir. var. geniculata (Raf.) Fernald
426,4.4,2.0,2.3,1.8,Carex ×kyyhkynenii Hidén (pro sp.)
427,6.4,2.4,3.7,2.2,Oenothera pallida Lindl.
428,7.1,3.5,3.4,0.5,Erigeron aphanactis (A. Gray) Greene var. congestus (Greene) Cronquist
429,7.2,2.0,5.6,1.1,Microseris acuminata Greene
430,7.8,2.4,5.0,2.4,Dysodiopsis (A. Gray) Rydb.
431,5.0,4.3,3.5,1.8,Quercus dumosa Nutt. var. elegantula Jeps.
432,6.4,4.2,6.4,1.8,Lavatera arborea L.
433,4.7,3.3,3.4,1.5,Scaevola coriacea Nutt.
434,6.9,4.1,2.3,1.0,Monnina Ruiz & Pav.
435,6.4,3.9,2.1,0.7,Hohenbergia portoricensis Mez
436,5.6,3.8,5.5,0.9,Astragalus bisulcatus (Hook.) A. Gray var. major (M.E. Jones) S.L. Welsh
437,7.6,2.2,1.9,0.8,Thelocarpon laureri (Flotow) Nyl.
438,5.8,2.7,5.9,1.1,Delphinium variegatum Torr. & A. Gray ssp. variegatum
439,7.6,3.3,5.1,1.7,Lonchocarpus heptaphyllus (Poir.) DC.
440,7.7,4.4,4.7,0.4,Cryptantha crymophila I.M. Johnst.
441,6.0,3.1,1.7,2.1,Vicia faba L.
442,5.9,4.2,6.4,2.2,Abronia minor Standl.
443,4.7,3.5,1.6,1.7,Lecanora viriduloflava de Lesd.
444,7.9,2.2,2.6,0.6,Samanea Merr.
445,6.8,2.2,6.4,1.4,Ribes sanguineum Pursh var. melanocarpum (Greene) Jeps.
446,5.7,4.3,4.5,0.2,Echinocactus Link & Otto
447,5.8,2.2,2.4,2.4,Diplotomma Flotow
448,6.0,4.1,3.9,2.3,Canavalia sericea A. Gray
449,4.4,3.9,4.1,2.3,Diplotaxis siifolia Kuntze
450,5.7,3.9,3.7,0.5,Melica L.
451,4.4,3.5,3.8,1.4,Vulpia octoflora (Walter) Rydb. var. octoflora
452,4.9,2.0,1.9,1.1,Asplenium uniseriale Raddi
453,6.7,2.1,3.4,1.4,Reimarochloa Hitchc.
454,4.3,4.1,6.5,1.0,Astragalus amblytropis Barneby
455,4.5,3.2,3.7,2.3,Pseudephebe pubescens (L.) M. Choisy
456,4.8,4.2,2.7,1.6,Koeleria Pers.
457,7.0,2.0,4.0,1.4,Teucrium cubense Jacq. var. cubense
458,7.7,2.6,6.5,2.2,Madia elegans D. Don ex Lindl. ssp. vernalis D.D. Keck
459,6.6,4.4,2.0,1.7,Vittaria costata Kunze
460,4.3,2.7,4.0,0.8,Securidaca virgata Sw.
461,7.9,3.6,4.6,1.6,Pohlia drummondii (Müll. Hal.) Andrews
462,7.8,3.2,2.4,1.1,Lecanora poluninii Lynge
463,5.2,4.0,4.8,0.2,Delphinium tricorne Michx.
464,4.4,3.3,2.3,2.1,Phacelia serrata J. Voss
465,6.5,3.1,3.2,0.6,Flourensia cernua DC.
466,7.4,3.5,6.8,0.6,Rosa pisocarpa A. Gray
467,5.1,3.1,2.8,1.5,Matelea cordifolia (A. Gray) Woodson
468,4.9,3.5,5.6,0.7,Lecidea tenuissima Lynge
469,4.8,3.6,1.5,0.3,Arctostaphylos montaraensis J.B. Roof
470,7.7,4.2,4.0,2.3,Carex davyi Mack.
471,5.7,2.9,3.2,2.4,Aspalathus L.
472,6.8,3.7,4.3,2.4,Arabis demissa Greene
473,7.4,3.4,4.4,0.4,Monarda fistulosa L. var. brevis Fosberg & Artz
474,5.3,2.5,3.8,1.6,Polytrichum appalachianum L.E. Anderson
475,4.7,2.7,3.2,0.4,Eleocharis tricostata Torr.
476,5.7,3.3,3.4,1.3,Potentilla norvegica L.
477,4.7,3.2,3.5,1.4,Potamogeton ×spathuliformis (J.W. Robbins) Morong (pro sp.)
478,5.0,4.3,5.5,0.3,×Lindsaeosoria W.H. Wagner
479,6.5,2.0,1.7,0.6,Lupinus amphibius Suksd.
480,4.7,3.4,2.3,0.9,Aristida californica Thurb. ex S. Watson var. glabrata Vasey
481,6.2,3.0,2.2,1.1,Chloris ×subdolichostachya Müll. Berol. (pro sp.)
482,7.1,3.5,3.7,1.2,Holocarpha Greene
483,7.3,4.3,5.2,1.5,Atriplex tenuissima A. Nelson
484,7.2,2.6,3.0,0.6,Asparagus setaceus (Kunth) Jessop
485,4.1,2.3,3.9,2.1,Acarospora nigromarginata de Lesd.
486,4.5,2.3,2.1,0.5,Pseudoleskea stenophylla Renauld & Cardot
487,7.4,2.5,2.2,1.1,Thamnosma montana Torr. & Frém.
488,6.5,3.1,1.0,1.7,Myosurus apetalus C. Gay
489,4.9,2.4,3.3,1.2,Rubus philadelphicus Blanch.
490,7.5,4.1,2.3,0.6,Grimmia pilifera P. Beauv.
491,7.2,3.4,4.2,2.2,Melampyrum L.
492,7.3,2.3,2.5,0.2,Arthonia reniformis (Pers.) Ach.
493,7.8,3.1,2.6,1.8,Physcia duplicorticata W.A. Weber & J.W. Thomson
494,6.0,3.6,3.7,2.1,Diapensia L.
495,5.1,3.9,4.0,1.3,Tuckermannopsis coralligera (W.A. Weber) W.A. Weber
496,5.4,2.5,3.5,2.1,Eriogonum havardii S. Watson
497,5.3,2.9,6.1,0.7,Pinus ponderosa Lawson & C. Lawson var. scopulorum Engelm.
498,7.8,3.4,3.2,0.6,Curcuma longa L.
499,7.4,3.2,5.4,0.5,Cypripedium guttatum Sw.
500,5.7,2.7,6.8,1.8,Allolepis texana (Vasey) Söderst. & Decker
501,6.9,2.5,2.8,1.8,Lupinus pusillus Pursh ssp. rubens (Rydb.) D. Dunn
502,7.5,2.3,6.8,2.2,Aphanostephus DC.
503,6.2,2.8,5.7,2.2,Lepidium integrifolium Nutt. var. integrifolium
504,5.1,2.6,4.2,2.0,Molendoa hornschuchiana (Hook.) Lindb. ex Limpr.
505,5.8,3.5,3.3,2.3,Claoxylon A. Juss.
506,5.0,2.1,4.6,0.9,Thymophylla tenuiloba (DC.) Small var. treculii (A. Gray) Strother
507,4.2,3.6,6.4,2.2,Cuphea P. Br.
508,5.8,3.9,5.9,0.5,Mauritia L. f.
509,5.3,4.1,5.7,0.9,Galium asprellum Michx.
510,5.6,3.0,1.8,2.3,Coreopsis nuecensoides E.B. Sm.
511,4.8,3.2,4.2,0.5,Lupinus concinnus J. Agardh ssp. optatus (C.P. Sm.) D. Dunn
512,5.4,4.0,2.0,1.4,Poa douglasii Nees
513,4.6,2.8,3.7,2.1,Schiedea apokremnos H. St. John
514,6.2,3.3,1.3,0.3,Symphyotrichum subspicatum (Nees) G.L. Nesom
515,7.1,2.2,1.8,1.7,Crataegus disperma Ashe
516,4.4,4.3,3.6,1.1,Grimmia poecilostoma Cardot & Seb.
517,5.0,3.7,2.8,0.4,Erythronium helenae Applegate
518,7.7,2.2,4.9,0.9,Pertusaria hymenea (Ach.) Schaerer
519,4.0,2.2,3.1,0.8,Buddleja officinalis Maxim.
520,7.7,3.2,4.0,1.0,Aglaonema commutatum Schott var. maculatum (Hook. f.) Nicolson
521,4.9,2.8,6.5,1.4,Carya ×demareei Palmer
522,5.8,3.6,3.7,2.3,Blysmus Panzer ex Schult.
523,5.0,2.0,6.9,1.6,Mucuna pruriens (L.) DC.
524,6.9,2.1,5.0,2.2,Psora crenata (Taylor) Reinke
525,4.5,3.5,6.4,0.3,Lithospermum ruderale Douglas ex Lehm.
526,5.6,3.0,2.5,1.8,Erigeron asper Nutt.
527,7.2,3.1,5.5,0.6,Adiantum melanoleucum Willd.
528,6.4,4.3,3.2,0.3,Elatine L.
529,7.7,4.0,5.8,1.1,Juncus rugulosus Engelm.
530,5.9,3.7,4.8,0.5,Clidemia hirta (L.) D. Don
531,5.7,3.5,3.7,1.3,Anisacanthus quadrifidus (Vahl) Nees var. wrightii (Torr.) Henrickson
532,6.0,3.6,5.7,1.4,Brassica rupestris Raf.
533,5.6,4.2,3.5,1.5,Eriogonum giganteum S. Watson var. giganteum
534,6.1,3.4,5.1,1.6,Canavalia napaliensis H. St. John
535,4.2,2.5,4.6,0.4,Ipomopsis laxiflora (J.M. Coult.) V.E. Grant
536,5.9,2.7,2.4,0.1,Nemastylis Nutt.
537,4.5,2.2,6.0,0.7,"Heuchera alpestris Rosend., Butters & Lakela"
538,5.7,2.7,2.8,0.8,Cedronella canariensis (L.) Willd. ex Webb & Bethel.
539,7.6,2.5,5.8,1.8,Callaeum Small
540,5.0,3.8,1.6,1.3,Scleria ciliaris Nees
541,6.0,2.5,1.8,1.9,Monardella hypoleuca A. Gray ssp. hypoleuca
542,5.6,2.0,3.7,1.2,Symphyotrichum racemosum (Elliott) G.L. Nesom
543,5.9,2.9,4.6,1.9,Bernardia myricifolia (Scheele) S. Watson
544,6.1,3.4,6.6,2.5,Echinocactus polycephalus Engelm. & J.M. Bigelow
545,4.5,4.1,4.1,1.2,Diploschistes muscorum (Scop.) R. Sant.
546,6.3,2.1,3.2,1.5,Heterotheca villosa (Pursh) Shinners var. minor (Hook.) Semple
547,4.8,2.6,6.8,2.0,Crataegus ideae Sarg.
548,4.0,4.3,5.3,1.7,Dryopteris podosora W.H. Wagner & T. Flynn
549,4.5,3.4,3.2,0.6,Phlox bifida Beck ssp. bifida
550,7.3,2.1,6.4,1.2,Thelypodium wrightii A. Gray ssp. oklahomense Al-Shehbaz
551,5.9,2.8,1.0,1.8,Lycurus Kunth
552,6.8,2.4,5.2,0.3,Clematis catesbyana Pursh
553,6.5,4.1,2.6,0.2,Racopilum P. Beauv.
554,5.9,3.1,1.9,1.0,Tibouchina semidecandra (Schrank & Mart. ex DC.) Cogn.
555,6.0,2.3,2.7,1.9,Houstonia serpyllifolia Michx.
556,4.5,2.9,5.3,0.6,Penstemon lentus Pennell var. albiflorus (D.D. Keck) Reveal
557,5.0,3.6,6.3,0.6,Grindelia camporum Greene var. camporum
558,6.2,4.4,1.8,1.2,Pholisma sonorae (Torr. ex A. Gray) Yatsk.
559,5.0,3.0,5.7,1.8,Mibora Adans.
560,7.7,2.2,4.2,2.2,Pertusaria californica Dibben
561,5.2,3.6,6.6,1.8,Carex scabriuscula Mack.
562,4.1,2.9,3.3,0.8,Lupinus sparsiflorus Benth. ssp. mohavensis Dziekanowski & D. Dunn
563,4.4,2.9,6.7,2.3,Erigeron aequifolius H.M. Hall
564,6.0,3.1,2.2,2.3,Stachys bigelovii A. Gray
565,4.8,2.3,5.3,0.2,Cuscuta megalocarpa Rydb.
566,5.6,3.8,6.3,1.5,Lycium L.
567,5.7,2.5,6.2,1.6,Lolium ×hybridum Hausskn.
568,5.2,2.4,1.2,2.0,Ludwigia spathulata Torr. & A. Gray
569,7.3,2.6,4.6,2.4,Alectoria nigricans (Ach.) Nyl.
570,5.5,3.0,6.4,1.4,Agrostemma L.
571,6.0,2.9,5.7,1.3,Delphinium geyeri Greene
572,5.5,3.2,6.8,2.0,Lupinus vallicola A. Heller
573,4.4,4.2,1.2,1.7,Sium latifolium L.
574,4.2,2.2,2.0,0.3,Orobanche parishii (Jeps.) Heckard ssp. parishii
575,4.1,2.9,6.3,1.1,Heteranthera dubia (Jacq.) MacMill.
576,5.2,2.4,6.6,0.7,Calycadenia truncata DC.
577,5.9,3.4,4.8,1.3,Helianthella uniflora (Nutt.) Torr. & A. Gray
578,5.4,2.7,1.8,1.2,Ditrichum flexicaule (Schwägr.) Hampe
579,5.6,4.0,1.5,2.4,Agathosma Willd.
580,4.5,2.3,6.6,0.5,"Cyanea crispa (Gaudich.) Lammers, Givnish & Sytsma"
581,6.1,2.5,1.7,2.2,Cetraria kamczatica Savicz
582,4.3,3.6,1.0,2.3,Collema curtisporum Degel.
583,7.3,3.5,3.0,0.4,Psychotria brownei Spreng.
584,4.2,4.0,1.9,1.8,Rubus gnarus L.H. Bailey
585,6.3,2.5,2.2,0.4,Celtis bungeana Blume
586,4.9,2.1,1.8,1.9,Ramalina dasypoga Tuck.
587,5.0,3.2,1.7,1.2,Senecio amplectens A. Gray
588,7.5,3.0,6.3,0.7,Erigeron poliospermus A. Gray
589,4.1,2.3,3.0,0.9,×Arctodupontia Tzvelev
590,4.3,4.0,3.9,0.9,Senecio congestus (R. Br.) DC.
591,6.6,3.4,5.4,1.6,Casearia nitida Jacq.
592,6.3,4.2,5.9,1.4,Pertusaria paratuberculifera Dibben
593,4.6,2.2,1.3,2.1,Ammannia robusta Heer & Regel
594,7.7,2.8,6.2,1.6,Cuscuta denticulata Engelm.
595,7.1,4.0,5.9,0.6,Tetradymia argyraea Munz & Roos
596,4.5,3.3,5.8,1.4,Solanum citrullifolium A. Braun
597,7.8,3.8,1.9,1.8,Clermontia micrantha (Hillebr.) Rock
598,5.9,3.5,3.8,1.6,Tournefortia bicolor Sw.
599,5.2,4.1,4.8,1.6,Metopium brownei (Jacq.) Urb.
600,5.9,2.8,2.9,1.6,Phlyctella Krempelh.
601,5.1,3.3,6.7,1.3,Condalia ericoides (A. Gray) M.C. Johnst.
602,5.8,2.4,2.7,0.6,Carex petricosa Dewey var. petricosa
603,6.1,2.8,3.8,0.8,Erigeron engelmannii A. Nelson var. engelmannii
604,7.0,3.3,5.1,2.3,Perityle cochisensis (Niles) A. Powell
605,4.7,4.2,3.6,1.8,Ornithogalum caudatum Aiton
606,7.0,2.8,1.4,1.8,Trifolium eriocephalum Nutt. ssp. martinii J.M. Gillett
607,7.5,4.3,6.9,2.0,Carex bromoides Schkuhr ex Willd.
608,4.7,2.6,2.0,1.4,Carex disticha Huds.
609,6.6,2.6,4.0,1.1,Lupinus lutescens C.P. Sm.
610,6.4,2.7,2.6,0.5,Ipomopsis longiflora (Torr.) V.E. Grant
611,6.7,2.4,1.4,1.3,Amphicarpaea Elliott ex Nutt.
612,7.8,3.9,5.0,0.1,Daniellia thurifera Benn.
613,5.6,4.3,1.7,1.3,Enneapogon Desv. ex P. Beauv.
614,5.6,3.0,4.7,1.7,Melaspilea constrictella (Stirt.) A.L. Sm.
615,6.6,4.3,4.3,2.1,Iris munzii R.C. Foster
616,7.0,2.2,2.9,1.8,Endococcus rugulosus Nyl.
617,5.4,2.6,3.5,1.4,Diplotomma nivalis (Bagl. & Carestia) Hafellner
618,4.9,3.1,1.8,2.4,Polypogon australis Brongn.
619,4.4,2.9,2.7,1.5,Ranunculus orthorhynchus Hook. var. bloomeri (S. Watson) L.D. Benson
620,5.4,3.9,5.7,1.0,Delonix Raf.
621,6.0,3.4,5.4,0.7,Eleocharis elongata Chapm.
622,4.4,3.3,2.3,2.2,Usnea michauxii I. Tav.
623,6.3,3.7,3.2,0.9,Carex communis L.H. Bailey var. amplisquama (F.J. Herm.) J. Rettig
624,5.9,4.0,6.4,1.3,Carex arctiformis Mack.
625,7.7,2.1,6.6,1.5,Lonchocarpus Kunth
626,5.7,3.0,5.8,2.5,Festuca viviparoidea Krajina ex Pavlick ssp. krajinae Frederiksen
627,4.6,3.3,1.2,0.8,Pohlia beringiensis Shaw
628,6.6,2.6,4.7,1.3,Viola tripartita Elliott
629,4.0,4.2,1.2,1.5,Phyllostegia hirsuta Benth.
630,5.4,3.0,6.4,0.9,Packera ionophylla (Greene) W.A. Weber & Á. Löve
631,7.8,3.8,3.2,0.8,Lupinus monticola Rydb.
632,7.5,4.4,6.5,0.9,Potentilla furcata A.E. Porsild
633,4.9,2.8,6.2,0.8,Trillium kurabayashii J.D. Freeman
634,5.4,3.6,6.0,2.0,Chamaesyce vallis-mortae Millsp.
635,7.6,4.3,4.3,0.5,Hibiscus kokio Hillebr. ex Wawra ssp. saintjohnianus (Roe) D.M. Bates
636,7.6,3.9,1.8,1.9,Hopea Roxb.
637,4.4,2.7,1.0,2.1,Arceuthobium M. Bieb.
638,6.4,3.3,4.4,1.8,Canoparmelia salacinifera (Hale) Elix & Hale
639,4.8,2.9,1.9,2.2,Horkelia sericata S. Watson
640,4.8,4.1,4.1,1.8,Ranunculus glaberrimus Hook. var. glaberrimus
641,6.2,2.6,3.2,0.4,Escobaria orcuttii Boed.
642,7.0,3.3,5.9,1.2,Cyrtandra munroi Forbes
643,7.7,3.5,4.5,2.0,Encephalartos ferox G. Bertol.
644,7.7,2.2,4.9,1.7,Salvia argentea L.
645,4.3,2.5,4.8,1.2,Rubus furtivus L.H. Bailey
646,6.2,4.4,1.7,1.8,Amsinckia douglasiana A. DC.
647,4.5,3.1,4.0,0.3,Erythronium umbilicatum Parks & Hardin ssp. monostolum Parks & Hardin
648,7.1,3.3,3.6,0.3,Elymus virginicus L.
649,4.9,4.0,2.8,1.7,Mollugo L.
650,7.3,3.4,3.7,0.1,Lotus salsuginosus Greene var. salsuginosus
651,7.6,2.5,3.3,2.3,Pertusaria coriacea (Th. Fr.) Th. Fr.
652,4.0,3.1,5.6,1.6,Ipomoea quamoclit L.
653,7.4,4.3,2.0,1.6,Hypericum denticulatum Walter
654,6.4,3.8,1.8,2.1,Eriogonum jamesii Benth. var. xanthum (Small) Reveal
655,5.9,2.9,4.3,0.8,Lonicera hispidula (Lindl.) Douglas ex Torr. & A. Gray
656,7.3,3.2,2.9,1.7,Gossypium tomentosum Nutt. ex Seem.
657,5.9,2.4,3.6,0.3,Datura pruinosa Greenman
658,5.2,2.5,6.4,1.6,Cullen corylifolia (L.) Medik.
659,6.0,4.4,5.9,0.9,Alisma gramineum Lej.
660,7.2,3.0,5.7,2.2,Mecardonia acuminata (Walter) Small var. microphylla (Raf.) Pennell
661,6.9,3.0,1.9,0.7,Phedimus aizoon (L.) 't Hart
662,5.4,2.7,4.4,2.3,Epifagus virginiana (L.) W.P.C. Barton
663,6.9,2.8,5.4,2.1,Arenaria congesta Nutt. var. wheelerensis Maguire
664,5.2,2.7,1.4,0.2,Angelica scabrida Clokey & Mathias ex Clokey
665,7.0,2.6,6.2,0.7,Roldana Llave ex Lex.
666,5.3,2.6,3.8,1.6,Senna uniflora (Mill.) Irwin & Barneby
667,4.2,2.2,6.0,0.7,Sicyos laciniatus L.
668,5.5,3.2,1.7,0.5,Salvia apiana Jeps. var. apiana
669,6.7,2.6,4.9,1.7,Oxytheca parishii Parry var. goodmaniana Ertter
670,4.9,4.2,2.4,0.8,Phacelia insularis Munz
671,7.8,2.9,1.6,1.1,Allium bolanderi S. Watson var. mirabile (L.F. Hend.) McNeal
672,4.4,2.1,5.3,0.3,Pyrrocoma lucida (D.D. Keck) Kartesz & Gandhi
673,7.2,2.5,6.8,1.2,Bromus laevipes Shear
674,4.7,3.7,5.6,0.8,Eragrostis capillaris (L.) Nees
675,4.8,4.0,5.7,0.9,Bryum calophyllum R. Br.
676,4.6,3.2,2.1,0.4,Schedonorus P. Beauv.
677,4.1,3.4,6.6,0.7,Trifolium incarnatum L.
678,6.0,3.3,6.4,2.1,Pertusaria pustulata (Ach.) Duby
679,5.4,4.1,3.2,2.5,Carex kraliana Naczi & Bryson
680,7.5,3.6,6.5,2.1,Eugenia ligustrina (Sw.) Willd.
681,6.4,2.1,2.8,1.2,Dioscorea villosa L.
682,5.5,3.6,1.2,1.2,Boswellia sacra Flueckiger
683,7.6,4.2,2.7,1.4,Astragalus pinonis M.E. Jones
684,5.8,3.5,2.3,1.5,Clibadium L.
685,5.3,4.0,2.4,0.1,Molinia caerulea (L.) Moench
686,7.3,3.2,1.3,1.6,Bryum schleicheri Schwägr.
687,4.8,2.7,2.2,0.5,Ericameria palmeri (A. Gray) H.M. Hall var. palmeri
688,7.4,2.7,2.5,2.2,Phyllodoce Salisb.
689,6.0,2.3,4.0,0.9,Eriogonum gilmanii S. Stokes
690,5.2,3.7,1.8,1.9,Apium graveolens L. var. rapaceum (Mill.) Gaudin
691,6.4,2.8,2.5,2.3,Descurainia pinnata (Walter) Britton
692,6.2,3.3,1.6,0.8,Trigonella procumbens (Besser) Rchb.
693,7.7,2.1,3.2,2.2,Dicranum muehlenbeckii Bruch & Schimp.
694,6.1,3.8,6.0,1.1,Manihot esculenta Crantz
695,4.4,2.1,6.4,1.0,Pedicularis L.
696,4.2,3.7,5.0,1.1,"Pseudoleskea julacea (Besch. & Cardot) H.A. Crum, Steere & L.E. Anderson"
697,6.0,3.1,4.6,0.7,Eryngium spinosepalum Mathias
698,5.3,2.1,6.1,1.1,Dryopteris Adans.
699,4.0,2.9,1.8,1.4,Chamaesyce porteriana Small var. scoparia (Small) Burch
700,4.1,3.5,5.6,0.4,Cynosurus echinatus L.
701,5.7,4.1,3.7,1.7,Carex ×subrecta J. Cay.
702,7.6,2.6,4.1,1.9,Selenia grandis R.F. Martin
703,6.2,2.7,6.5,0.4,Phlox subulata L. ssp. brittonii (Small) Wherry
704,5.7,4.1,3.7,0.8,Lantana velutina M. Martens & Galeotti
705,4.9,3.5,6.4,2.1,Allamanda schottii Pohl
706,7.0,3.0,3.3,0.8,Thelypteris rheophyta Proctor
707,4.2,3.8,2.9,2.3,Camassia Lindl.
708,6.9,2.4,2.0,1.1,Astragalus flexuosus Douglas ex G. Don var. flexuosus
709,5.9,2.7,3.9,1.8,Gentiana septemfida Pall.
710,7.8,4.2,6.0,0.3,Lycium andersonii A. Gray
711,7.0,3.2,5.0,1.3,Chloris truncata R. Br.
712,4.8,2.5,6.1,2.0,Passiflora foetida L. var. gossypiifolia (Desv. ex Ham.) Masters
713,6.2,3.7,2.9,1.2,Blechnum insularum Morton & Lellinger
714,6.5,2.6,5.4,2.1,Pitcairnia angustifolia Aiton
715,7.0,2.6,5.3,1.9,Viola hastata Michx.
716,7.6,2.7,5.0,0.9,Atriplex wardii Standl.
717,5.2,2.1,2.9,0.4,Marina Liebm.
718,5.1,2.8,4.1,0.3,Hitchenia caulina (J. Graham) Baker
719,5.1,3.1,4.4,1.2,Aphanostephus skirrhobasis (DC.) Trel.
720,6.6,3.9,4.5,1.0,Corrigiola litoralis L.
721,4.8,4.3,3.0,1.0,Astragalus purshii Douglas ex Hook.
